A,B
YAR007C,YIR002C
YAR007C,YOL094C
YAR007C,YDR097C
YAR007C,YIL031W
YAR007C,YER095W
YAR007C,YER173W
YAR007C,YJL090C
YAR033W,YGL051W
YBL002W,YBR211C
YBL002W,YKR048C
YBL002W,YLR315W
YBL002W,YOR244W
YBL002W,YDR254W
YBL002W,YNL246W
YBL002W,YJR135C
YBL002W,YBR245C
YBL002W,YDR318W
YBL002W,YKL089W
YBL002W,YLR381W
YBL002W,YBL052C
YBL002W,YPR046W
YBL002W,YDR383C
YBL002W,YLR442C
YBL002W,YDL042C
YBL002W,YPL018W
YBL002W,YGR179C
YBL002W,YPL127C
YBL002W,YBR107C
YBL002W,YDR121W
YBL002W,YPR175W
YBL003C,YHR115C
YBL003C,YOR244W
YBL003C,YDR254W
YBL003C,YDR083W
YBL003C,YPR046W
YBL003C,YDR383C
YBL003C,YPL018W
YBL003C,YGR179C
YBL003C,YHR154W
YBL003C,YJL168C
YBL003C,YDR318W
YBL003C,YMR127C
YBL003C,YMR224C
YBL003C,YJR135C
YBL003C,YLR381W
YBL003C,YKL089W
YBL003C,YBL052C
YBL003C,YNL250W
YBL003C,YDL042C
YBL003C,YMR284W
YBL003C,YBR211C
YBL003C,YLR315W
YBL003C,YBR107C
YBL004W,YLR367W
YBL004W,YJL033W
YBL004W,YGR118W
YBL004W,YCR035C
YBL004W,YJL050W
YBL004W,YGR271CA
YBL004W,YOR001W
YBL004W,YPR132W
YBL004W,YOR167C
YBL004W,YOR206W
YBL004W,YGR195W
YBL004W,YGR095C
YBL004W,YDR083W
YBL004W,YER074W
YBL004W,YHR065C
YBL004W,YOL142W
YBL004W,YNR024W
YBL004W,YOL121C
YBL004W,YDR450W
YBL004W,YNL232W
YBL004W,YDL083C
YBL004W,YOR369C
YBL004W,YDR060W
YBL004W,YGR158C
YBL004W,YOL021C
YBL004W,YJL190C
YBL004W,YNL110C
YBL004W,YHR081W
YBL004W,YKL156W
YBL004W,YIL127C
YBL004W,YHR069C
YBL004W,YML026C
YBL004W,YDL111C
YBL004W,YIL069C
YBL005W,YGL013C
YBL007C,YKR094C
YBL007C,YLR337C
YBL007C,YDR172W
YBL007C,YLR167W
YBL007C,YHR016C
YBL007C,YIL148W
YBL007C,YCL034W
YBL007C,YPR171W
YBL008W,YEL056W
YBL009W,YMR076C
YBL014C,YNL113W
YBL014C,YOR224C
YBL014C,YOR340C
YBL014C,YOR341W
YBL014C,YHR143WA
YBL014C,YBR154C
YBL014C,YER148W
YBL014C,YPR187W
YBL014C,YJL148W
YBL014C,YPR010C
YBL014C,YNL248C
YBL014C,YPR110C
YBL014C,YDR156W
YBL014C,YJR063W
YBL014C,YOR210W
YBL016W,YLR362W
YBL016W,YNL167C
YBL016W,YPL140C
YBL016W,YPL049C
YBL016W,YDR480W
YBL016W,YJL128C
YBL016W,YER075C
YBL016W,YHR005C
YBL016W,YOR231W
YBL016W,YHR084W
YBL017C,YJL154C
YBL017C,YJL053W
YBL018C,YBL026W
YBL018C,YHR072WA
YBL018C,YLR438CA
YBL018C,YDL208W
YBL018C,YDR378C
YBL018C,YHR089C
YBL018C,YHR034C
YBL018C,YER146W
YBL018C,YLR175W
YBL018C,YER112W
YBL018C,YNL147W
YBL019W,YKL067W
YBL019W,YNL246W
YBL021C,YBR278W
YBL021C,YJL065C
YBL023C,YLR442C
YBL023C,YNL102W
YBL023C,YBR160W
YBL023C,YNL312W
YBL023C,YGL113W
YBL026W,YBR167C
YBL026W,YLR175W
YBL026W,YHR034C
YBL026W,YLR145W
YBL026W,YDR478W
YBL026W,YGR030C
YBL026W,YLR197W
YBL026W,YGL174W
YBL026W,YHR062C
YBL026W,YLR298C
YBL026W,YPR137W
YBL026W,YDR404C
YBL026W,YBR257W
YBL026W,YDL208W
YBL026W,YAL033W
YBL026W,YIR005W
YBL026W,YLR117C
YBL026W,YOR310C
YBL026W,YER127W
YBL026W,YHR089C
YBL026W,YHR072WA
YBL026W,YNL221C
YBL026W,YGL173C
YBL026W,YBL018C
YBL026W,YNL282W
YBL026W,YLR016C
YBL026W,YDL014W
YBL027W,YLR333C
YBL027W,YDL213C
YBL027W,YDL184C
YBL027W,YBR283C
YBL027W,YPL079W
YBL027W,YOR253W
YBL027W,YLL045C
YBL027W,YGL099W
YBL027W,YDR083W
YBL027W,YGR169CA
YBL027W,YPL146C
YBL027W,YBR084CA
YBL027W,YMR121C
YBL027W,YLR150W
YBL027W,YDL040C
YBL027W,YHR021C
YBL027W,YLR406C
YBL027W,YGL173C
YBL027W,YEL057C
YBL027W,YCR072C
YBL027W,YMR230W
YBL027W,YDR139C
YBL027W,YHR197W
YBL027W,YLR398C
YBL027W,YHR081W
YBL027W,YKR084C
YBL027W,YMR142C
YBL027W,YIL052C
YBL027W,YNL182C
YBL027W,YJL136C
YBL027W,YGR245C
YBL027W,YGR034W
YBL027W,YDR382W
YBL027W,YLR387C
YBL027W,YGL213C
YBL027W,YJR113C
YBL027W,YHR013C
YBL027W,YOR234C
YBL027W,YDL130W
YBL027W,YOR001W
YBL027W,YLR367W
YBL027W,YEL034W
YBL027W,YKR063C
YBL027W,YPR072W
