A,B
YAL032C,YKL081W
YAL032C,YDR482C
YAL032C,YIR009W
YAL032C,YGR278W
YAL032C,YDL209C
YAL032C,YDR416W
YAL032C,YKL173W
YAL032C,YMR288W
YAL032C,YBR065C
YAL032C,YDR364C
YAL032C,YGR074W
YAL032C,YGL128C
YAL032C,YOR159C
YAL032C,YBR188C
YAL032C,YLL036C
YAL032C,YLR147C
YAL032C,YDL043C
YAL032C,YKR022C
YAL032C,YIR005W
YAL032C,YER013W
YAL032C,YER029C
YAL032C,YPR182W
YAL032C,YDR021W
YAL032C,YHR165C
YAL032C,YPL151C
YAL032C,YLR117C
YAL033W,YBR167C
YAL033W,YDR386W
YAL033W,YLR197W
YAL033W,YAR008W
YAL033W,YDL014W
YAL033W,YER127W
YAL033W,YMR059W
YAL033W,YNL221C
YAL033W,YIR015W
YAL033W,YHR062C
YAL033W,YNL282W
YAL033W,YML091C
YAL033W,YBR257W
YAL033W,YGR030C
YAL033W,YBL018C
YAL033W,YBR098W
YAL033W,YEL026W
YAL033W,YOR310C
YAL033W,YLR105C
YAL033W,YDR478W
YAL033W,YPR137W
YAL033W,YLR145W
YAL033W,YPL083C
YAL034WA,YJR112W
YAL034WA,YPL233W
YAL034WA,YIR010W
YAL034WA,YKL089W
YAL035W,YDR025W
YAL035W,YLR106C
YAL035W,YPR016C
YAL035W,YHR141C
YAL035W,YGL189C
YAL035W,YOR167C
YAL035W,YLR002C
YAL035W,YKR057W
YAL035W,YHR085W
YAL035W,YGL123W
YAL035W,YLR048W
YAL035W,YHL001W
YAL035W,YJR094WA
YAL035W,YBR191W
YAL035W,YPL081W
YAL035W,YMR290C
YAL035W,YLL034C
YAL035W,YLR333C
YAL035W,YLR074C
YAL035W,YDR450W
YAL035W,YOL120C
YAL035W,YOL121C
YAL035W,YER131W
YAL035W,YLR264W
YAL035W,YPR143W
YAL035W,YML063W
YAL035W,YDR091C
YAL035W,YOL077C
YAL035W,YHR203C
YAL035W,YGL147C
YAL035W,YPR043W
YAL035W,YNL244C
YAL035W,YML073C
YAL035W,YJR007W
YAL035W,YOR294W
YAL035W,YGL031C
YAL035W,YBL028C
YAL035W,YHR021C
YAL035W,YGR118W
YAL035W,YER036C
YAL035W,YML024W
YAL035W,YPR041W
YAL035W,YDL061C
YAL035W,YNL178W
YAL035W,YDL191W
YAL035W,YDR447C
YAL035W,YCL054W
YAL035W,YAL059W
YAL035W,YMR194W
YAL035W,YLR388W
YAL035W,YBR084CA
YAL035W,YKR081C
YAL035W,YGR054W
YAL035W,YFR001W
YAL035W,YMR143W
YAL035W,YBR031W
YAL035W,YOR182C
YAL035W,YKL156W
YAL035W,YDR471W
YAL035W,YOR063W
YAL035W,YBL027W
YAL035W,YGR027C
YAL035W,YJL136C
YAL035W,YOR293W
YAL035W,YHL015W
YAL035W,YNL007C
YAL035W,YBR267W
YAL035W,YPR102C
YAL035W,YIR012W
YAL035W,YDR064W
YAL035W,YML026C
YAL035W,YMR230W
YAL035W,YJL189W
YAL035W,YKL172W
YAL035W,YPL043W
YAL035W,YLL008W
YAL035W,YHL033C
YAL035W,YLR221C
YAL035W,YNL061W
YAL035W,YNL224C
YAL035W,YJL191W
YAL035W,YGR214W
YAL035W,YOR312C
YAL035W,YDL083C
YAL035W,YGR218W
YAL035W,YOR369C
YAL035W,YBL087C
YAL035W,YDR060W
YAL035W,YNR038W
YAL035W,YLR029C
YAL035W,YER117W
YAL035W,YNR053C
YAL035W,YJL177W
YAL035W,YIL133C
YAL035W,YER102W
YAL035W,YOL041C
YAL035W,YDR087C
