"orf_name_a" "gene_name_a" "orf_name_b" "gene_name_b" "n_publications" "n_methods" "n_evidence" "Zone" "GI_PCC" "CS_PCC" "GE_PCC"
"105" "YAL038W" "CDC19" "YHR023W" "MYO1" 1 2 2 "C" NA NA 0.0245
"106" "YAL038W" "CDC19" "YNL307C" "MCK1" 1 2 2 "D" -0.0152 NA 0.2257
"107" "YAL040C" "CLN3" "YBR160W" "CDC28" 13 6 14 "C" 0.07192 NA 0.2164
"108" "YAL040C" "CLN3" "YPL014W" "CIP1" 2 2 2 "D" -0.02184 -0.00161481938712727 NA
"109" "YAL041W" "CDC24" "YBL085W" "BOI1" 3 3 3 "C" 0.04241 NA 0.3188
"110" "YAL041W" "CDC24" "YBR200W" "BEM1" 22 8 29 "A" 0.02752 NA 0.5125
"111" "YAL041W" "CDC24" "YER114C" "BOI2" 2 2 2 "C" 0.11757 NA 0.4334
"112" "YAL041W" "CDC24" "YGR152C" "RSR1" 6 3 6 "B" 0.04119 NA 0.0975
"113" "YAL041W" "CDC24" "YGR221C" "TOS2" 2 1 2 "A" 0.03152 NA NA
"114" "YAL041W" "CDC24" "YHL007C" "STE20" 2 2 2 "C" NA NA 0.4929
"115" "YAL041W" "CDC24" "YIL079C" "AIR1" 2 1 2 "B" -0.00344 NA 0.2246
"116" "YAL041W" "CDC24" "YJL157C" "FAR1" 8 4 10 "A" NA NA NA
"117" "YAL041W" "CDC24" "YJL187C" "SWE1" 2 1 2 "C" 0.0175 NA 0.2518
"118" "YAL041W" "CDC24" "YLR206W" "ENT2" 2 1 2 "C" -0.01153 NA 0.4838
"119" "YAL041W" "CDC24" "YLR229C" "CDC42" 9 5 10 "A" 0.15166 NA 0.2058
"120" "YAL041W" "CDC24" "YOL070C" "NBA1" 1 2 2 "C" 0.00949 NA 0.3461
"121" "YAL041W" "CDC24" "YOR212W" "STE4" 5 3 7 "A" NA NA 0.1942
"122" "YAL041W" "CDC24" "YPL161C" "BEM4" 2 2 2 "A" 0.10498 NA 0.3401
"123" "YAL042W" "ERV46" "YML067C" "ERV41" 4 3 4 "A" 0.12145 0.657005062796662 0.2258
"124" "YAL043C" "PTA1" "YGR156W" "PTI1" 6 3 7 "A" NA NA 0.4376
"125" "YAL043C" "PTA1" "YKR002W" "PAP1" 9 4 10 "A" 0.03847 NA 0.4834
"126" "YAL043C" "PTA1" "YLR277C" "YSH1" 8 3 8 "A" NA NA 0.5318
"127" "YAL043C" "PTA1" "YNL222W" "SSU72" 8 5 11 "A" 0.27744 NA 0.2619
"128" "YAL047C" "SPC72" "YAL047C" "SPC72" 4 4 5 "A" NA NA NA
"129" "YAL047C" "SPC72" "YEL061C" "CIN8" 2 1 2 "B" NA NA NA
"130" "YAL047C" "SPC72" "YGL212W" "VAM7" 2 2 2 "C" NA NA NA
"131" "YAL047C" "SPC72" "YGR218W" "CRM1" 2 2 3 "B" NA NA NA
"132" "YAL047C" "SPC72" "YHR158C" "KEL1" 2 1 2 "B" NA NA NA
"133" "YAL047C" "SPC72" "YHR172W" "SPC97" 8 5 9 "A" NA NA NA
"134" "YAL047C" "SPC72" "YJR053W" "BFA1" 2 3 3 "C" NA NA NA
"135" "YAL047C" "SPC72" "YLR045C" "STU2" 4 4 6 "B" NA NA NA
"136" "YAL047C" "SPC72" "YLR212C" "TUB4" 5 3 6 "A" NA NA NA
"137" "YAL047C" "SPC72" "YMR001C" "CDC5" 4 4 6 "C" NA NA NA
"138" "YAL047C" "SPC72" "YNL126W" "SPC98" 3 3 4 "A" NA NA NA
"139" "YAL047C" "SPC72" "YNL188W" "KAR1" 2 3 3 "C" NA NA NA
"140" "YAL047C" "SPC72" "YOR373W" "NUD1" 3 3 4 "A" NA NA NA
"141" "YAL047C" "SPC72" "YPL055C" "LGE1" 2 2 2 "C" NA NA NA
"142" "YAL055W" "PEX22" "YGR133W" "PEX4" 4 8 10 "D" 0.26518 0.6682546260239 NA
"143" "YAL056W" "GPB2" "YER020W" "GPA2" 4 3 5 "D" NA NA NA
"144" "YAL062W" "GDH3" "YDR388W" "RVS167" 1 2 2 "D" 0.01816 NA 0.1967
"145" "YAL067C" "SEO1" "YOR153W" "PDR5" 1 2 2 "D" 0.01189 NA -0.0357
"146" "YAR002C-A" "ERP1" "YGL002W" "ERP6" 2 2 2 "C" 0.05217 0.0815057876521597 0.2257
"147" "YAR002W" "NUP60" "YLR347C" "KAP95" 9 3 9 "A" 0.10798 NA 0.3507
"148" "YAR003W" "SWD1" "YHR119W" "SET1" 12 5 13 "A" 0.43483 NA 0.4267
"149" "YAR007C" "RFA1" "YAR007C" "RFA1" 2 1 2 "A" NA NA NA
"150" "YAR007C" "RFA1" "YBR136W" "MEC1" 9 4 11 "C" NA NA 0.2169
"151" "YAR007C" "RFA1" "YCR066W" "RAD18" 1 2 2 "B" NA NA 0.2832
"152" "YAR007C" "RFA1" "YDR369C" "XRS2" 1 2 2 "B" 0.35431 NA 0.3427
"153" "YAR007C" "RFA1" "YDR499W" "LCD1" 4 3 5 "C" NA NA 0.3265
"154" "YAR007C" "RFA1" "YHR164C" "DNA2" 6 3 8 "A" 0.25784 NA 0.4168
"155" "YAR007C" "RFA1" "YIR002C" "MPH1" 4 2 4 "C" 0.07898 NA 0.306
"156" "YAR007C" "RFA1" "YJL173C" "RFA3" 12 5 12 "A" NA NA 0.4532
"157" "YAR007C" "RFA1" "YML032C" "RAD52" 6 3 7 "B" 0.35262 NA 0.4082
"158" "YAR007C" "RFA1" "YMR190C" "SGS1" 4 5 8 "B" 0.25518 NA 0.4081
"159" "YAR007C" "RFA1" "YNL312W" "RFA2" 12 5 12 "A" NA NA 0.6699
"160" "YAR014C" "BUD14" "YDR122W" "KIN1" 2 2 2 "D" 0.02134 -0.0319898446830334 NA
"161" "YAR014C" "BUD14" "YDR195W" "REF2" 2 2 2 "C" 0.02555 NA NA
"162" "YAR014C" "BUD14" "YER133W" "GLC7" 4 4 6 "C" 0.03477 NA NA
"163" "YAR014C" "BUD14" "YIL144W" "NDC80" 1 2 2 "C" -0.02586 NA NA
"164" "YAR014C" "BUD14" "YLR096W" "KIN2" 3 3 3 "D" 0.01269 -0.092048286226569 NA
"165" "YAR014C" "BUD14" "YLR273C" "PIG1" 1 2 2 "C" 0.04023 -0.031554948712261 NA
"166" "YAR014C" "BUD14" "YMR071C" "TVP18" 2 1 2 "D" 0.02135 0.136117899442389 NA
"167" "YAR014C" "BUD14" "YNL333W" "SNZ2" 2 1 2 "D" -0.04408 0.0473879085124748 NA
"168" "YAR015W" "ADE1" "YPL240C" "HSP82" 2 2 3 "C" 0.02276 NA -0.1235
"169" "YAR018C" "KIN3" "YBL106C" "SRO77" 2 1 2 "D" 0.02215 0.15010061756072 NA
"170" "YAR018C" "KIN3" "YPL018W" "CTF19" 2 1 2 "C" 0.04183 0.284770939325528 NA
"171" "YAR019C" "CDC15" "YPL240C" "HSP82" 2 2 2 "C" -0.02018 NA NA
"172" "YAR033W" "MST28" "YGL051W" "MST27" 3 3 3 "D" NA NA NA
"173" "YAR042W" "SWH1" "YER120W" "SCS2" 2 2 2 "D" 0.01101 0.383128766793683 NA
"174" "YAR050W" "FLO1" "YER118C" "SHO1" 1 2 2 "C" -0.00043 -0.0762905674336754 0.0132
"175" "YBL002W" "HTB2" "YBR089C-A" "NHP6B" 1 2 2 "C" -0.04232 0.0974763765984828 NA
"176" "YBL002W" "HTB2" "YER030W" "CHZ1" 2 2 2 "B" 0.00836 -0.0232717794912864 NA
"177" "YBL002W" "HTB2" "YKR048C" "NAP1" 4 3 5 "A" -0.06695 0.1520015987591 0.1126
"178" "YBL003C" "HTA2" "YBR089C-A" "NHP6B" 1 2 2 "C" NA 0.18875158945646 NA
"179" "YBL003C" "HTA2" "YDR224C" "HTB1" 4 4 5 "A" NA NA 0.5325
"180" "YBL003C" "HTA2" "YLR442C" "SIR3" 3 4 4 "B" NA NA NA
"181" "YBL004W" "UTP20" "YGR090W" "UTP22" 2 2 2 "A" NA NA 0.7256
"182" "YBL004W" "UTP20" "YMR229C" "RRP5" 1 2 2 "B" NA NA 0.8356
"183" "YBL005W" "PDR3" "YPL240C" "HSP82" 2 2 2 "C" -0.02638 0.0138729252091209 0.0572
"184" "YBL007C" "SLA1" "YBL007C" "SLA1" 3 5 6 "A" NA NA NA
"185" "YBL007C" "SLA1" "YBL105C" "PKC1" 2 2 2 "B" 0.05271 NA NA
"186" "YBL007C" "SLA1" "YCL034W" "LSB5" 2 3 4 "C" 0.01928 NA 0.2806
"187" "YBL007C" "SLA1" "YCR030C" "SYP1" 2 2 2 "C" 0.02379 NA 0.5826
"188" "YBL007C" "SLA1" "YCR088W" "ABP1" 2 3 4 "C" 0.13954 NA 0.3599
"189" "YBL007C" "SLA1" "YDL028C" "MPS1" 1 2 2 "C" -0.04391 NA NA
"190" "YBL007C" "SLA1" "YDL146W" "LDB17" 2 2 2 "C" 0.18199 NA 0.263
"191" "YBL007C" "SLA1" "YDR172W" "SUP35" 2 1 2 "C" 0.00859 NA 0.2731
"192" "YBL007C" "SLA1" "YDR388W" "RVS167" 3 3 3 "C" 0.23912 NA 0.5078
"193" "YBL007C" "SLA1" "YER133W" "GLC7" 3 2 4 "B" 0.09839 NA 0.1639
"194" "YBL007C" "SLA1" "YFR024C-A" "LSB3" 4 4 4 "C" -0.06438 NA NA
"195" "YBL007C" "SLA1" "YGL181W" "GTS1" 3 2 3 "C" 0.05016 NA 0.3329
"196" "YBL007C" "SLA1" "YGR268C" "HUA1" 3 2 3 "C" 0.02523 NA 0.3062
"197" "YBL007C" "SLA1" "YHR016C" "YSC84" 5 4 5 "C" 0.00092 NA 0.3718
"198" "YBL007C" "SLA1" "YIL095W" "PRK1" 3 4 5 "C" 0.08152 NA 0.2409
"199" "YBL007C" "SLA1" "YIR006C" "PAN1" 2 3 4 "A" 0.42055 NA 0.562
"200" "YBL007C" "SLA1" "YJL151C" "SNA3" 2 2 2 "C" 0.01428 NA NA
"201" "YBL007C" "SLA1" "YJL201W" "ECM25" 2 2 2 "C" 0.03785 NA -0.0205
"202" "YBL007C" "SLA1" "YKL054C" "DEF1" 2 2 2 "C" -0.01762 NA 0.4382
"203" "YBL007C" "SLA1" "YKR001C" "VPS1" 1 2 2 "B" NA NA 0.5112
"204" "YBL007C" "SLA1" "YLL039C" "UBI4" 2 2 4 "C" 0.04817 NA 0.2809
"205" "YBL007C" "SLA1" "YLR064W" "PER33" 2 2 2 "C" -0.00375 NA 0.1874
"206" "YBL007C" "SLA1" "YNL084C" "END3" 1 2 2 "A" 0.43577 NA 0.1374
"207" "YBL007C" "SLA1" "YNL094W" "APP1" 2 3 3 "C" 0.02267 NA 0.3542
"208" "YBL007C" "SLA1" "YNL106C" "INP52" 2 2 2 "B" 0.12813 NA 0.3156
"209" "YBL007C" "SLA1" "YNL152W" "INN1" 2 2 2 "C" 0.14287 NA 0.0965
"210" "YBL007C" "SLA1" "YNL238W" "KEX2" 2 4 5 "C" -0.09744 NA 0.3969
"211" "YBL007C" "SLA1" "YNL243W" "SLA2" 1 2 2 "C" 0.21305 NA NA
"212" "YBL007C" "SLA1" "YOR047C" "STD1" 1 2 2 "C" 0.00336 NA 0.0404
"213" "YBL007C" "SLA1" "YOR109W" "INP53" 2 2 2 "C" 0.05167 NA 0.354
"214" "YBL007C" "SLA1" "YOR181W" "LAS17" 8 6 9 "A" 0.32064 NA 0.4201
"215" "YBL007C" "SLA1" "YPR171W" "BSP1" 4 3 4 "B" 0.01985 NA 0.2364
"216" "YBL008W" "HIR1" "YBR112C" "CYC8" 1 2 2 "B" 0.02242 NA NA
"217" "YBL008W" "HIR1" "YJL115W" "ASF1" 6 4 6 "B" 0.14918 NA NA
"218" "YBL008W" "HIR1" "YMR021C" "MAC1" 1 2 2 "C" 0.03759 NA NA
"219" "YBL010C" "" "YPR029C" "APL4" 1 2 2 "C" 0.12906 0.570371926409242 NA
