geneA,geneB
YDR324C,YHR196W
YJL109C,YEL055C
YJL109C,YPL126W
YJL109C,YDR324C
YDR324C,YJL109C
YJL109C,YMR093W
YLR409C,YLR129W
YLR409C,YCR057C
YLR409C,YLR222C
YLR222C,YLR409C
YLR409C,YJL069C
YJL069C,YLR409C
YLR409C,YDR449C
YJL069C,YLR129W
YJL069C,YCR057C
YJL069C,YLR222C
YLR222C,YJL069C
YJL069C,YDR449C
YLR222C,YLR129W
YLR222C,YCR057C
YLR222C,YDR449C
YGR090W,YCL031C
YGR090W,YIL035C
YGR090W,YOR061W
YGR090W,YGL019W
YGR090W,YOR039W
YOR039W,YGR090W
YPL147W,YPL145C
YGR103W,YPR016C
YGR103W,YPL211W
YGR103W,YOL077C
YGR103W,YPL093W
YGR103W,YAL025C
YGR103W,YMR290C
YGR103W,YLL008W
YGR103W,YMR049C
YGR103W,YHR038W
YGR103W,YKL172W
YGR103W,YNL002C
YGR103W,YDR087C
YGR103W,YCL054W
YGR103W,YOR272W
YGR103W,YFR001W
YGR103W,YKL009W
YGR103W,YNL110C
YGR103W,YER002W
YGR103W,YGL111W
YGR103W,YER126C
YGR103W,YHR052W
YGR103W,YLR009W
YGR264C,YGL105W
YGR264C,YGR264C
YGR264C,YGL245W
YGR162W,YGL245W
YER049W,YER049W
YPL263C,YPL263C
YGL078C,YER177W
YGL078C,YGL078C
YGL078C,YGR159C
YGR159C,YGL078C
YOR310C,YGR159C
YGR159C,YOR310C
YGR159C,YGR159C
YLR410W,YGR159C
YGL078C,YLR175W
YGL078C,YHR089C
YGL078C,YDL208W
YHR089C,YLR175W
YHR089C,YHR089C
YHR089C,YDL208W
YHR089C,YDL213C
YHR089C,YGR283C
YGR283C,YHR089C
YHR089C,YMR310C
YOR310C,YLR175W
YGR159C,YLR175W
YGL244W,YLR175W
YHR196W,YLR175W
YLR410W,YLR175W
YGR283C,YLR175W
YGR283C,YDL208W
YGR283C,YGR283C
YGR283C,YMR310C
YGL078C,YLR197W
YOR310C,YOR310C
YOR310C,YPL235W
YOR310C,YLR197W
YGR159C,YLR197W
YHR052W,YAL035W
YKR024C,YKR024C
YKR024C,YAL035W
YKR024C,YDR060W
YKR024C,YMR229C
YER025W,YAL035W
YDR060W,YAL035W
YDR060W,YDR060W
YDR060W,YMR229C
YMR229C,YDR060W
YOR206W,YDR060W
YDR060W,YOR206W
YOR206W,YMR229C
YOR361C,YAL035W
YMR229C,YMR229C
YGR128C,YMR229C
YJL122W,YAL035W
YJL033W,YJL033W
YJL050W,YDL175C
YJL050W,YJL050W
YJL050W,YOL115W
YOR001W,YJL050W
YKR024C,YPR131C
YOL076W,YOL076W
YOL076W,YPR131C
YPR131C,YOL076W
YPR131C,YPR131C
YOR206W,YOR206W
YOR206W,YLR002C
YLR002C,YOR206W
YLR002C,YLR002C
YLR002C,YOR243C
YOR243C,YOR243C
YJL098W,YOR048C
YJL098W,YJL098W
YJL098W,YDL047W
YDL047W,YJL098W
YDL047W,YLR248W
YDL047W,YFR040W
YDL047W,YKR028W
YDL047W,YDL047W
YDR293C,YKR028W
YER172C,YER172C
YER172C,YHR165C
YER146W,YHR165C
YER172C,YPR178W
YER172C,YKL173W
YGL173C,YGL173C
YGL173C,YJL124C
YGL173C,YCR077C
YCR077C,YGL173C
YGL173C,YGR054W
YLR438CA,YGL173C
YLR438CA,YJL124C
YLR438CA,YDR378C
YLR438CA,YCR077C
YLR438CA,YMR268C
YLR438CA,YDR473C
YLR438CA,YPR178W
YLR438CA,YBR055C
YLR438CA,YKL173W
YLR438CA,YDR334W
YER146W,YGL173C
YER146W,YJL124C
YER146W,YDR378C
YER146W,YCR077C
YDR378C,YGL173C
YDR378C,YJL124C
YDR378C,YDR378C
YDR378C,YCR077C
YDR378C,YDR473C
YCR077C,YCR077C
YDR473C,YPR178W
YDR473C,YBR055C
YDR473C,YKL173W
YDR473C,YLR305C
YGL078C,YDL014W
YJL033W,YDL014W
YGL173C,YDL014W
YOL076W,YDL014W
YOR206W,YDL014W
YOR310C,YDL014W
YGR159C,YDL014W
YGR162W,YDL014W
YDR117C,YDL014W
YKR024C,YOR204W
YHR089C,YOR204W
YGL173C,YOR204W
YJL050W,YOR204W
YLR002C,YOR204W
YOR310C,YOR204W
YGR159C,YOR204W
YJL098W,YOR204W
YDR429C,YOR204W
YGR162W,YOR204W
YDR117C,YOR204W
YJL033W,YER165W
YPL263C,YER165W
YJL050W,YER165W
YOR206W,YER165W
YLR002C,YER165W
YOR310C,YER165W
YGR159C,YER165W
YMR229C,YER165W
YGR162W,YER165W
YOR310C,YHR203C
YDR117C,YHR203C
YDR117C,YDR117C
YBR154C,YJR138W
YGR162W,YOL139C
YGR162W,YDL126C
YGR162W,YJR138W
YGR162W,YER110C
YGR162W,YJL138C
YGR162W,YGR162W
YGR162W,YOL006C
YGR162W,YLR249W
YER049W,YLR249W
YPL263C,YDR432W
YOR310C,YDR432W
YDR432W,YDR432W
YOR310C,YPR137W
YPR137W,YPR137W
YOL021C,YNL232W
YOL021C,YOL021C
YOL021C,YHR069C
YOL021C,YOL142W
YOL021C,YDL111C
YOL021C,YDR280W
YDR280W,YOL021C
YOL021C,YGR095C
YGR095C,YOL021C
YOL021C,YOR001W
YOR001W,YOL021C
YOL021C,YGR195W
YOL021C,YOR076C
YHR081W,YNL232W
YHR081W,YOL021C
YHR081W,YHR081W
YHR081W,YHR069C
YHR081W,YOL142W
YHR081W,YCR035C
YHR081W,YDR280W
YHR081W,YGR095C
YHR081W,YOR001W
YPR110C,YOR001W
YDL140C,YOR001W
YDR280W,YNL232W
YDR280W,YHR069C
YDR280W,YOL142W
YDR280W,YCR035C
YDR280W,YDR280W
YDR280W,YGR095C
YGR095C,YDR280W
YDR280W,YOR001W
YOR001W,YDR280W
YDR280W,YGR195W
YGR095C,YNL232W
YGR095C,YHR069C
YGR095C,YOL142W
YGR095C,YDL111C
YGR095C,YCR035C
YGR095C,YGR095C
YGR095C,YOR001W
YOR001W,YGR095C
YGR095C,YGR195W
