geneA,geneB
YDR533C,YNL134C
YDR322CA,YDR377W
YDR377W,YDR322CA
YOL016C,YOR220W
YDR261CD,YBL100WB
YKL145W,YOR117W
YOR220W,YOL016C
YBL100WB,YDR261CD
YOR117W,YKL145W
YBR191W,YNL069C
YOR063W,YPL131W
YPL131W,YOR063W
YNL069C,YBR191W
YNL178W,YOR063W
YMR142C,YJL177W
YGR142W,YNL077W
YNCN0005C,YNCB0019C
YAR015W,YNL220W
YJL177W,YMR142C
YLR129W,YLR222C
YOR063W,YNL178W
YNCB0019C,YNCN0005C
YGR253C,YGL011C
YGL011C,YGR253C
YGL189C,YLR185W
YLR222C,YLR129W
YNL077W,YGR142W
YNL220W,YAR015W
YLR185W,YGL189C
YLR395C,YLR038C
YDR377W,YHR051W
YOL039W,YDL081C
YEL071W,YCR005C
YDL081C,YOL039W
YHR007C,YLR056W
YLR038C,YLR395C
YLR056W,YHR007C
YHR051W,YDR377W
YCR005C,YEL071W
YMR076C,YIL026C
YDR298C,YGL187C
YDL075W,YBL092W
YBL092W,YDL075W
YPR191W,YOR065W
YOR065W,YPR191W
YIL026C,YMR076C
YGL187C,YDR298C
YPL078C,YDR298C
YDR298C,YPL078C
YBR196C,YHR174W
YHR174W,YBR196C
YMR300C,YGL234W
YDR050C,YJR009C
YPR191W,YEL024W
YLR038C,YDR529C
YGL234W,YMR300C
YEL024W,YPR191W
YJR009C,YDR050C
YDR529C,YLR038C
YLL026W,YAL005C
YDR377W,YDL004W
YOL029C,YOL028C
YBR189W,YNL069C
YOL028C,YOL029C
YAL005C,YLL026W
YML100W,YDR074W
YDL004W,YDR377W
YNL069C,YBR189W
YDR074W,YML100W
YDR377W,YGL187C
YLR056W,YMR015C
YGL187C,YDR377W
YMR015C,YLR056W
YBR046C,YBR047W
YLR216C,YMR186W
YJL073W,YKL165C
YKL165C,YJL073W
YIR027C,YIR028W
YBR047W,YBR046C
YKL180W,YGR214W
YMR186W,YLR216C
YGR214W,YKL180W
YIR028W,YIR027C
YDR377W,YDR529C
YOR341W,YNL132W
YMR205C,YBR196C
YBR196C,YMR205C
YNL281W,YDR214W
YKR069W,YJR010W
YJR010W,YKR069W
YLR038C,YGL187C
YGL187C,YLR038C
YDR214W,YNL281W
YNL132W,YOR341W
YDR529C,YDR377W
YJR121W,YPR191W
YPR191W,YJR121W
YHR174W,YOL086C
YOL086C,YHR174W
YHR051W,YEL024W
YEL024W,YHR051W
YGR041W,YGL028C
YBL004W,YLR106C
YLR106C,YBL004W
YHR165C,YHR099W
YPR191W,YBR039W
YBR039W,YPR191W
YLR030W,YLR031W
YLR031W,YLR030W
YHR099W,YHR165C
YGL028C,YGR041W
YGL055W,YMR246W
YMR246W,YGL055W
YDL004W,YHR051W
YNL069C,YJR123W
YHR051W,YDL004W
YJR123W,YNL069C
YJR092W,YBR038W
YBR038W,YJR092W
YJL096W,YMR158W
YMR158W,YJL096W
YPL131W,YKL180W
YKL180W,YPL131W
YGL076C,YLL045C
YLL045C,YGL076C
YPR191W,YHR051W
YHR051W,YPR191W
