geneA,geneB
YFL039C,YOR122C
YFL039C,YCR009C
YFL039C,YDR388W
YFL039C,YDR129C
YFL039C,YOR057W
YFL039C,YOR035C
YFL039C,YBL007C
YFL039C,YNL138W
YFL039C,YNL138W
YFL039C,YLR337C
YFL039C,YLR337C
YFL039C,YGR168C
YFL039C,YHR086WA
YFL039C,YNL097CB
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YLR370C
YFL039C,YLR370C
YFL039C,YNR035C
YFL039C,YOL078W
YFL039C,YLL050C
YFL039C,YNL084C
YFL039C,YOR181W
YFL039C,YOR181W
YFL039C,YMR109W
YFL039C,YIR006C
YFL039C,YOR036W
YFL039C,YOR122C
YFL039C,YCR009C
YFL039C,YDR388W
YFL039C,YDR129C
YFL039C,YOR035C
YFL039C,YBL007C
YFL039C,YNL243W
YFL039C,YNL138W
YFL039C,YKL203C
YFL039C,YNL054W
YFL039C,YLR337C
YFL039C,YLR337C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YLR370C
YFL039C,YLR370C
YFL039C,YNR035C
YFL039C,YDL029W
YFL039C,YJL008C
YFL039C,YML094W
YFL039C,YOR181W
YFL039C,YOR181W
YFL039C,YGR078C
YFL039C,YIR006C
YFL039C,YOR036W
YFL039C,YDR323C
YFL039C,YOR122C
YFL039C,YCR009C
YFL039C,YDR388W
YFL039C,YDR129C
YFL039C,YOR035C
YFL039C,YBL007C
YFL039C,YNL243W
YFL039C,YKL203C
YFL039C,YDR495C
YFL039C,YLR337C
YFL039C,YLR337C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YLR370C
YFL039C,YLR370C
YFL039C,YNR035C
YFL039C,YNL271C
YFL039C,YKL007W
YFL039C,YBR109C
YFL039C,YLL050C
YFL039C,YBR078W
YFL039C,YNL084C
YFL039C,YOR181W
YFL039C,YOR181W
YFL039C,YMR109W
YFL039C,YIR006C
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YCR009C
YFL039C,YDR388W
YFL039C,YDR129C
YFL039C,YOR035C
YFL039C,YBL007C
YFL039C,YGR229C
YFL039C,YNL138W
YFL039C,YNL138W
YFL039C,YLR337C
YFL039C,YNL181W
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YLR370C
YFL039C,YNR035C
YFL039C,YNR035C
YFL039C,YDL029W
YFL039C,YJL008C
YFL039C,YBR109C
YFL039C,YFR043C
YFL039C,YOR181W
YFL039C,YOR181W
YFL039C,YMR109W
YFL039C,YIR006C
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YDR129C
YFL039C,YOR035C
YFL039C,YBL007C
YFL039C,YNL243W
YFL039C,YNL138W
YFL039C,YDR320C
YFL039C,YDR212W
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YLR370C
YFL039C,YLR370C
YFL039C,YNR035C
YFL039C,YNR035C
YFL039C,YDL029W
YFL039C,YDL143W
YFL039C,YJR064W
YFL039C,YDR188W
YFL039C,YJL008C
YFL039C,YBR109C
YFL039C,YBR078W
YFL039C,YNL153C
YFL039C,YEL003W
YFL039C,YML094W
YFL039C,YOR181W
YFL039C,YOR181W
YFL039C,YNL006W
YFL039C,YMR109W
YFL039C,YGR078C
YFL039C,YGR078C
YFL039C,YOR281C
YFL039C,YDR276C
YFL039C,YCR009C
YFL039C,YDR388W
YFL039C,YDR129C
YFL039C,YMR074C
YFL039C,YOR035C
YFL039C,YDR212W
YFL039C,YDR212W
YFL039C,YKL203C
YFL039C,YEL005C
YFL039C,YLR337C
YFL039C,YLR200W
YFL039C,YNL181W
YFL039C,YNL181W
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YLR370C
YFL039C,YLR370C
YFL039C,YNR035C
YFL039C,YIL003W
YFL039C,YIL003W
YFL039C,YBR109C
YFL039C,YNL084C
YFL039C,YOR181W
YFL039C,YIL150C
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YCR009C
YFL039C,YDR388W
YFL039C,YDR129C
YFL039C,YNL138W
YFL039C,YLR337C
YFL039C,YLR337C
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YLR370C
YFL039C,YLR370C
YFL039C,YNR035C
YFL039C,YKL007W
YFL039C,YBR109C
YFL039C,YLL050C
YFL039C,YBR078W
YFL039C,YBL047C
YFL039C,YOR181W
YFL039C,YOR181W
YFL039C,YDR245W
YFL039C,YIR006C
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YDR276C
YFL039C,YDR129C
YFL039C,YNL272C
YFL039C,YOR035C
YFL039C,YBL007C
YFL039C,YNL138W
YFL039C,YNL138W
YFL039C,YDR320C
YFL039C,YML115C
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YLR370C
YFL039C,YLR370C
YFL039C,YNR035C
YFL039C,YNR035C
YFL039C,YDL029W
YFL039C,YKL007W
YFL039C,YDL143W
YFL039C,YJL008C
YFL039C,YBR109C
YFL039C,YNL153C
YFL039C,YEL003W
YFL039C,YML094W
YFL039C,YOR181W
YFL039C,YOR181W
YFL039C,YNL006W
YFL039C,YGR078C
YFL039C,YGR078C
YFL039C,YJL179W
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YOR281C
YFL039C,YDR276C
YFL039C,YCR009C
YFL039C,YDR388W
YFL039C,YDR129C
YFL039C,YOR035C
YFL039C,YNL138W
YFL039C,YDR212W
YFL039C,YDR212W
YFL039C,YKL203C
YFL039C,YEL005C
YFL039C,YLR337C
YFL039C,YLR337C
YFL039C,YLR370C
YFL039C,YLR370C
YFL039C,YNR035C
YFL039C,YDL029W
YFL039C,YNL271C
YFL039C,YKL007W
YFL039C,YIL034C
YFL039C,YDL143W
YFL039C,YJR064W
YFL039C,YDR188W
YFL039C,YJL008C
YFL039C,YBR109C
YFL039C,YBR078W
YFL039C,YNL153C
YFL039C,YEL003W
YFL039C,YML094W
YFL039C,YNL006W
YFL039C,YOR326W
YFL039C,YMR109W
YFL039C,YGR078C
YFL039C,YGR078C
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YOR281C
YFL039C,YCR009C
YFL039C,YOR035C
YFL039C,YDR212W
YFL039C,YDR212W
YFL039C,YEL005C
YDR448W,YNR057C
YDR448W,YOL087C
YDR448W,YDR176W
YDR448W,YHL025W
YDR448W,YPL129W
YDR448W,YKL175W
YMR184W,YCR015C
YMR184W,YML054C
YMR184W,YMR306W
YMR184W,YKR009C
YMR184W,YMR251W
YMR184W,YMR192W
YMR184W,YDL125C
YMR184W,YOL157C
YMR184W,YLR303W
YMR184W,YMR258C
YMR184W,YMR322C
YMR184W,YMR099C
YAR015W,YGR054W
YLR028C,YLR236C
YLR028C,YNL013C
YLR028C,YDR545W
YMR120C,YGR102C
YMR120C,YGR169CA
YGR204W,YOR204W
YGR204W,YAR066W
YMR300C,YMR258C
YMR300C,YMR302C
YGL234W,YBR201W
YGL234W,YNL281W
YGL234W,YBR086C
YGL234W,YDR026C
YGL234W,YMR201C
YGL234W,YMR121C
YGL234W,YLR344W
YGL234W,YOL040C
YGL234W,YDR078C
YGL234W,YKR056W
YGL234W,YML021C
YGL234W,YAR075W
YGL234W,YMR122WA
YGR061C,YPL280W
YGR061C,YNL227C
YGR061C,YER087CB
YGR061C,YDR470C
YDR408C,YGR295C
YDR408C,YIL026C
YDR408C,YDR379CA
YDR408C,YLR464W
YCL058WA,YML054C
YCL058WA,YDL125C
YCL058WA,YLR303W
YCL058WA,YGR010W
YOL086C,YOR054C
YMR303C,YMR250W
YMR303C,YBL100WC
YMR303C,YMR272WB
YMR303C,YPR108WA
YGL256W,YNL106C
YGL256W,YJL116C
YGL256W,YHR124W
YGL256W,YLR082C
YGL256W,YJL052CA
YGL256W,YNL057W
YGL256W,YPL038WA
YBR145W,YJL116C
YBR145W,YLR007W
YBR145W,YBR088C
YBR145W,YDR095C
YBR145W,YJR151WA
YBR145W,YNL057W
YMR318C,YLR245C
YMR318C,YOR009W
YMR318C,YJR103W
YMR318C,YLR312CB
YMR318C,YBR264C
YCR105W,YOL077WA
YCR105W,YNR058W
YCR105W,YLR411W
YCR105W,YOR393W
YCR105W,YCR089W
YCR105W,YGL033W
YCR105W,YJL221C
YCR105W,YDR542W
YCR105W,YMR175W
YCR105W,YAR035CA
YCR105W,YBR182CA
YCR105W,YDL085CA
YCR105W,YER079W
YCR105W,YMR230WA
YMR009W,YBR286W
YMR009W,YBR298C
YMR009W,YNL145W
YMR009W,YCR027C
YMR009W,YCR045C
YMR009W,YCR085W
YMR009W,YCR087CA
YMR009W,YCR087W
YMR009W,YKL053W
YDR226W,YIL148W
YCR011C,YLR162W
YCR011C,YNL146CA
YDR216W,YCL026CB
YDR216W,YGR251W
YDR216W,YPR102C
YDR216W,YDL184C
YDR216W,YER066W
YDR216W,YJL127C
YDR216W,YCR095WA
YDR216W,YER053CA
YDR216W,YGR168C
YDR216W,YHR086WA
YDR216W,YJL144W
YDR216W,YNL097CB
YDR216W,YNL195C
YCR010C,YNL219C
YCR010C,YCR022C
YCR010C,YMR182WA
YDL239C,YGR102C
YDL239C,YNL279W
YDL239C,YGL185C
YLR227C,YML088W
YLR227C,YLR159CA
YLR227C,YNL013C
YMR064W,YMR282C
YMR064W,YPL005W
YMR064W,YER087W
YMR064W,YJL131C
YMR064W,YLR393W
YMR064W,YNL315C
YMR064W,YLR295C
YMR064W,YML081CA
YMR064W,YJR121W
YMR064W,YPL078C
YMR064W,YDR298C
YMR064W,YKL016C
YMR064W,YJR001W
YMR064W,YDL069C
YMR064W,YKL137W
YMR064W,YPL189CA
YMR064W,YJL062WA
YMR064W,YBR003W
YMR064W,YGR255C
YMR064W,YPL172C
YMR064W,YPL132W
YMR064W,YLR038C
YMR064W,YER141W
YMR064W,YJL003W
YMR064W,YLL009C
YMR064W,YLR394W
YMR064W,YJR048W
YMR064W,YAL039C
YMR064W,YOR065W
YMR064W,YDR512C
YMR064W,YAL044C
YMR064W,YDL171C
YMR064W,YGL237C
YMR064W,YOR358W
YMR064W,YOL027C
YMR064W,YNL252C
YMR064W,YBR282W
YMR064W,YKL138C
YMR064W,YDL107W
YMR064W,YER153C
YMR064W,YNR045W
YMR064W,YGR222W
YMR064W,YBR037C
YMR064W,YMR059W
YMR064W,YEL059CA
YMR064W,YGL049C
YMR064W,YJL133CA
YMR282C,YPL005W
YMR282C,YLR393W
YMR282C,YNL315C
YMR282C,YJL180C
YMR282C,YLR295C
YMR282C,YJR121W
YMR282C,YDR350C
YMR282C,YNR020C
YMR282C,YPL078C
YMR282C,YDR298C
YMR282C,YKL016C
YMR282C,YHL038C
YMR282C,YPL189CA
YMR282C,YJL062WA
YMR282C,YBR003W
YMR282C,YDR204W
YMR282C,YGL119W
YMR282C,YPL132W
YMR282C,YLR038C
YMR282C,YML129C
YMR282C,YAL039C
