A,B
YPR004C,YHR177W
YPR004C,YHR212WA
YPR004C,YJL107C
YPR004C,YJR056C
YPR004C,YJR085C
YPR004C,YJR151WA
YPR004C,YLR307CA
YPR004C,YMR155W
YPR004C,YOR034CA
YPR004C,YPL039W
YPR004C,YFL052W
YHR199C,YDR085C
YHR199C,YDR038C
YHR199C,YFR017C
YHR199C,YPR156C
YHR199C,YDR034WB
YHR199C,YDR134C
YHR199C,YOL159CA
YDL237W,YDR535C
YDR063W,YMR158W
YDR063W,YEL049W
YDR063W,YOL105C
YDR063W,YAL037CA
YDR063W,YDR194WA
YDR063W,YLR154WA
YER080W,YKL007W
YER080W,YGR080W
YIL079C,YHR192W
YIL079C,YBR298CA
YBR059C,YMR116C
YBR059C,YMR070W
YBR059C,YMR272C
YBR059C,YMR039C
YDR264C,YPR039W
YJL122W,YJR155W
YJL122W,YNL166C
YJL122W,YDR480W
YJL122W,YPR131C
YJL122W,YPL220W
YJL122W,YDL052C
YJL122W,YBL100WC
YJL122W,YLR406CA
YJL122W,YNL033W
YJL122W,YPR108WA
YMR170C,YOR391C
YMR170C,YDR073W
YMR169C,YDR507C
YMR169C,YMR158W
YOR374W,YEL011W
YOR374W,YCL009C
YER073W,YJR159W
YER073W,YHR212WA
YER073W,YPL062W
YOR175C,YGL054C
YOR175C,YDR343C
YOR175C,YNL239W
YOR175C,YEL016C
YOR175C,YNL311C
YOR175C,YNL300W
YOR175C,YOL125W
YOR175C,YHR213W
YNL048W,YBL082C
YNL048W,YPL227C
YNL048W,YOR002W
YNL048W,YOR067C
YNL048W,YNL219C
YNL048W,YMR264W
YNL048W,YGR227W
YNL048W,YGL200C
YNL048W,YOL013C
YNL048W,YKL073W
YNL048W,YOR085W
YNL048W,YJR143C
YNL048W,YMR214W
YNL048W,YML055W
YNL048W,YBL083C
YNR030W,YNR030W
YNR030W,YPL227C
YNR030W,YOR002W
YNR030W,YOR067C
YNR030W,YNL219C
YNR030W,YAL058W
YNR030W,YMR264W
YNR030W,YGL027C
YNR030W,YGR227W
YNR030W,YGL200C
YNR030W,YPL096CA
YNR030W,YML012W
YNR030W,YGL084C
YNR030W,YNL322C
YNR030W,YJL062W
YNR030W,YOR085W
YNR030W,YJR143C
YNR030W,YBR229C
YNR030W,YMR214W
YNR030W,YML055W
YNR030W,YEL031W
YNR030W,YJR117W
YNR030W,YBL083C
YBL082C,YNR030W
YBL082C,YBL082C
YBL082C,YOR002W
YBL082C,YOR067C
YBL082C,YNL219C
YBL082C,YFL025C
YBL082C,YAL058W
YBL082C,YLR087C
YBL082C,YMR264W
YBL082C,YGL027C
YBL082C,YGR227W
YBL082C,YBR078W
YBL082C,YDR414C
YBL082C,YPL096CA
YBL082C,YGL084C
YBL082C,YJL062W
YBL082C,YDL096C
YBL082C,YOR085W
YBL082C,YML019W
YBL082C,YCR044C
YBL082C,YAL023C
YBL082C,YBR229C
