A,B
YBL003C,YHR118C
YBL003C,YHR193C
YBL003C,YIL026C
YBL003C,YIL035C
YBL003C,YIL043C
YBL003C,YIL056W
YBL003C,YIL076W
YBL003C,YIL148W
YBL003C,YIL173W
YBL003C,YJL033W
YBL003C,YJL034W
YBL003C,YJL047C
YBL003C,YJL138C
YBL003C,YJR010CA
YBL003C,YJR052W
YBL003C,YJR082C
YBL003C,YJR145C
YBL003C,YKR048C
YBL003C,YLR022C
YBL003C,YLR033W
YBL003C,YLR385C
YBL003C,YLR432W
YBL003C,YML069W
YBL003C,YML103C
YBL003C,YMR044W
YBL003C,YMR072W
YBL003C,YMR223W
YBL003C,YMR284W
YBL003C,YNL030W
YBL003C,YNL031C
YBL003C,YNL059C
YBL003C,YNL088W
YBL003C,YNL178W
YBL003C,YNL201C
YBL003C,YNL209W
YBL003C,YNL262W
YBL003C,YNL290W
YBL003C,YOL004W
YBL003C,YOL051W
YBL003C,YOL059W
YBL003C,YOL094C
YBL003C,YOR058C
YBL003C,YOR061W
YBL003C,YOR207C
YBL003C,YOR217W
YBL003C,YOR244W
YBL003C,YOR290C
YBL003C,YPL001W
YBL003C,YPL032C
YBL003C,YPL082C
YBL003C,YPL090C
YBL003C,YPL128C
YBL003C,YPR008W
YBL003C,YPR161C
YBL004W,YBL038W
YBL004W,YBR009C
YBL004W,YBR143C
YBL004W,YBR247C
YBL004W,YBR251W
YBL004W,YCL059C
YBL004W,YCR057C
YBL004W,YDL111C
YBL004W,YDL148C
YBL004W,YDL213C
YBL004W,YDR060W
YBL004W,YDR280W
YBL004W,YDR449C
YBL004W,YER082C
YBL004W,YGR090W
YBL004W,YGR220C
YBL004W,YHR089C
YBL004W,YHR196W
YBL004W,YJL109C
YBL004W,YJL124C
YBL004W,YMR186W
YBL004W,YNL110C
YBL004W,YNL284C
YBL004W,YOL010W
YBL004W,YOL139C
YBL004W,YOR078W
YBL004W,YOR310C
YBL004W,YPL043W
YBL004W,YPR137W
YBL004W,YPR144C
YBL005W,YBR149W
YBL007C,YBR084CA
YBL007C,YCR030C
YBL007C,YDL191W
YBL007C,YDR025W
YBL007C,YEL054C
YBL007C,YFR024CA
YBL007C,YGL103W
YBL007C,YHR016C
YBL007C,YHR114W
YBL007C,YJL191W
YBL007C,YJL201W
YBL007C,YLR150W
YBL007C,YLR325C
YBL007C,YLR337C
YBL007C,YLR435W
YBL007C,YLR448W
YBL007C,YNL106C
YBL007C,YOR181W
YBL007C,YPR102C
YBL007C,YPR171W
YBL008W,YBR215W
YBL008W,YJL115W
YBL010C,YNL317W
YBL014C,YJL025W
YBL014C,YML043C
YBL016W,YBR072W
YBL016W,YDR171W
YBL016W,YLR259C
YBL016W,YNL246W
YBL017C,YDL097C
YBL017C,YDR432W
YBL017C,YPL049C
YBL018C,YBR167C
YBL018C,YNL282W
YBL019W,YCR020WB
YBL019W,YCR028CA
YBL020W,YGL011C
YBL021C,YGL045W
YBL021C,YGL237C
YBL021C,YOR358W
YBL022C,YBR084W
YBL022C,YLR180W
YBL022C,YLR340W
YBL022C,YOR136W
YBL023C,YBR126C
YBL023C,YDL171C
YBL023C,YNL262W
YBL023C,YPL001W
YBL024W,YBR084W
YBL024W,YDL014W
YBL024W,YDR381W
YBL024W,YDR382W
YBL024W,YIL070C
YBL024W,YLR150W
YBL024W,YNL284C
YBL026W,YBR055C
YBL026W,YCR077C
YBL026W,YDL160C
YBL026W,YDR378C
YBL026W,YDR473C
YBL026W,YER029C
YBL026W,YER112W
YBL026W,YER146W
YBL026W,YER165W
YBL026W,YER172C
YBL026W,YGL173C
YBL026W,YGR074W
YBL026W,YGR075C
YBL026W,YGR091W
YBL026W,YHR165C
YBL026W,YJL124C
YBL026W,YJR022W
YBL026W,YKL173W
YBL026W,YLR275W
YBL026W,YLR438CA
YBL026W,YMR268C
YBL026W,YNL147W
YBL026W,YOR308C
YBL026W,YPR178W
YBL030C,YGL167C
YBL030C,YGL195W
YBL032W,YBL072C
YBL032W,YBR084W
YBL032W,YDR025W
YBL032W,YER165W
YBL032W,YGL049C
YBL032W,YGL105W
YBL032W,YGL173C
YBL032W,YGL245W
YBL032W,YGR162W
YBL032W,YHR216W
YBL032W,YIL069C
YBL032W,YJR145C
YBL032W,YLR150W
YBL032W,YLR175W
YBL032W,YLR363WA
YBL032W,YLR432W
YBL032W,YML024W
YBL032W,YML117W
YBL032W,YMR125W
YBL032W,YMR142C
YBL032W,YMR310C
YBL032W,YNL005C
YBL032W,YNL030W
YBL032W,YNL112W
YBL032W,YOL139C
YBL032W,YPL090C
YBL032W,YPL198W
YBL032W,YPL237W
YBL032W,YPL249CA
YBL032W,YPL259C
YBL032W,YPR102C
YBL035C,YBR084W
YBL035C,YBR087W
YBL035C,YDL058W
YBL035C,YDR054C
YBL035C,YIR008C
YBL035C,YKL045W
YBL035C,YKL210W
YBL035C,YLR432W
YBL035C,YNL102W
YBL035C,YNL290W
YBL035C,YNR052C
YBL035C,YOL094C
YBL035C,YOR217W
YBL035C,YPL090C
YBL036C,YGR185C
YBL036C,YLR150W
YBL037W,YJL084C
YBL037W,YJR005W
YBL037W,YJR058C
YBL037W,YKR026C
YBL037W,YNL265C
YBL037W,YOL062C
YBL038W,YCL014W
YBL038W,YCR046C
YBL038W,YDR164C
YBL038W,YDR237W
YBL038W,YDR296W
YBL038W,YDR322W
YBL038W,YDR462W
YBL038W,YER155C
YBL038W,YGR093W
YBL038W,YGR220C
YBL038W,YJL005W
YBL038W,YJL063C
YBL038W,YJL176C
YBL038W,YJL200C
YBL038W,YJR138W
YBL038W,YKR006C
