	orf_name_a	gene_name_a	orf_name_b	gene_name_b	Zone	GI_PCC	CS_PCC	GE_PCC
2549	YGR068C	ART5	YLR145W	RMP1	C	0.01801	NA	0.0913
2552	YGR074W	SMD1	YLR275W	SMD2	A	NA	NA	0.5877
2553	YGR074W	SMD1	YOR194C	TOA1	C	0.01953	NA	0.433
2555	YGR076C	MRPL25	YPL173W	MRPL40	A	NA	NA	0.6763
2556	YGR078C	PAC10	YGR286C	BIO2	C	0.01556	NA	0.2085
2557	YGR078C	PAC10	YLR200W	YKE2	A	0.58682	NA	0.4408
2558	YGR078C	PAC10	YLR291C	GCD7	B	-0.02793	NA	0.5334
2559	YGR078C	PAC10	YML094W	GIM5	A	NA	NA	0.6046
2560	YGR078C	PAC10	YPL188W	POS5	C	NA	NA	0.0626
2562	YGR082W	TOM20	YOR158W	PET123	B	NA	NA	0.3955
2575	YGR099W	TEL2	YOR158W	PET123	B	NA	NA	0.185
2578	YGR102C	GTF1	YLR288C	MEC3	C	0.02969	NA	0.255
2579	YGR102C	GTF1	YMR293C	HER2	D	0.02408	NA	0.1321
2580	YGR104C	SRB5	YHR041C	SRB2	A	NA	NA	0.0736
2581	YGR105W	VMA21	YJL163C		D	0.03079	NA	-0.2033
2582	YGR108W	CLB1	YKL049C	CSE4	C	0.01877	NA	NA
2585	YGR113W	DAM1	YKL138C-A	HSK3	A	NA	NA	NA
2586	YGR113W	DAM1	YKR037C	SPC34	A	NA	NA	0.3577
2589	YGR113W	DAM1	YOR158W	PET123	B	NA	NA	0.1838
2592	YGR119C	NUP57	YKL057C	NUP120	A	0.0196	NA	0.5606
2594	YGR119C	NUP57	YLR288C	MEC3	B	0.05316	NA	0.5491
2613	YGR122W		YMR077C	VPS20	B	0.38137	0.479197765	0.2866
2616	YGR128C	UTP8	YNL086W	SNN1	B	0.02187	NA	NA
2617	YGR128C	UTP8	YPL126W	NAN1	A	NA	NA	0.85
2618	YGR129W	SYF2	YJR003C	MRX12	C	0.0759	0.216521691	NA
2619	YGR129W	SYF2	YMR213W	CEF1	A	0.20142	NA	0.4092
2622	YGR133W	PEX4	YGR235C	MIC26	D	-0.00628	-0.249100237	0.1297
2623	YGR133W	PEX4	YNL100W	MIC27	D	0.0331	0.115136221	0.105
2628	YGR142W	BTN2	YJR128W		D	-0.0035	-0.148670359	NA
2629	YGR142W	BTN2	YLR351C	NIT3	D	0.01405	0.271364567	-0.1729
