orf_name_a,orf_name_b,Uetz-screen,Ito-core,CCSB-YI1,YeRI
YBR114W,YJL036W,False,False,False,True
YBR114W,YML095C,False,False,False,True
YBR114W,YPR083W,False,False,False,True
YBR122C,YGL115W,False,False,False,True
YBR122C,YGR211W,False,False,True,False
YBR123C,YKL078W,False,False,False,True
YBR123C,YLR423C,False,False,True,False
YBR123C,YPL225W,False,False,False,True
YBR125C,YCL033C,False,False,False,True
YBR125C,YDR071C,True,False,False,True
YBR126C,YBR126C,False,False,True,False
YBR126C,YML100W,False,False,True,False
YBR126C,YMR261C,False,False,True,False
YBR126C,YPL152W,False,False,False,True
YBR126WA,YIR038C,False,False,True,False
YBR126WA,YPR174C,False,False,False,True
YBR127C,YGR117C,False,False,False,True
YBR128C,YPL120W,False,False,False,True
YBR130C,YBR130C,False,True,False,False
YBR130C,YHR107C,False,False,False,True
YBR131W,YGL124C,False,False,True,False
YBR131W,YKR036C,False,False,False,True
YBR131W,YOR034C,False,False,False,True
YBR133C,YDL154W,True,False,False,False
YBR133C,YGL187C,False,False,True,False
YBR135W,YBR160W,False,True,False,False
YBR135W,YBR252W,False,True,False,False
YBR135W,YDL155W,True,False,False,False
YBR135W,YER102W,True,False,False,False
YBR135W,YGR108W,True,True,False,False
YBR135W,YPR119W,True,False,False,False
YBR137W,YBR137W,False,True,False,False
YBR137W,YML064C,False,True,False,False
YBR137W,YMR047C,False,True,False,False
YBR137W,YNL189W,False,True,False,False
YBR141C,YDR372C,True,False,False,False
YBR141C,YGL091C,True,False,False,False
YBR141C,YLR061W,False,False,False,True
YBR146W,YGR158C,False,False,False,True
YBR150C,YOL089C,False,False,True,False
YBR150C,YOR174W,False,False,True,False
YBR152W,YGR075C,False,False,True,True
YBR153W,YBR153W,False,False,True,False
YBR154C,YFL023W,False,True,False,False
YBR155W,YER081W,False,True,False,False
YBR156C,YPL209C,False,False,True,False
YBR162WA,YDR160W,False,False,False,True
YBR162WA,YJR010CA,False,False,False,True
YBR162WA,YMR153W,False,False,False,True
YBR162WA,YPL094C,False,False,True,False
YBR165W,YBR270C,False,False,False,True
YBR165W,YGL215W,False,False,False,True
YBR165W,YGR158C,False,False,False,True
YBR166C,YBR166C,False,False,True,False
YBR166C,YLR291C,False,False,True,False
YBR167C,YDL159W,False,False,False,True
YBR167C,YER094C,False,False,False,True
YBR167C,YGR030C,False,False,False,True
YBR168W,YHR150W,False,False,False,True
YBR170C,YDL126C,False,True,False,False
YBR170C,YDL190C,False,False,True,False
YBR170C,YDR130C,False,False,False,True
YBR170C,YGR048W,True,True,False,True
YBR170C,YIR015W,False,False,False,True
YBR170C,YLR240W,False,False,False,True
YBR170C,YMR068W,False,False,False,True
YBR173C,YGR057C,False,False,False,True
YBR175W,YJR128W,False,False,False,True
YBR175W,YKR081C,False,False,False,True
YBR176W,YBR176W,True,False,True,False
YBR176W,YGR048W,False,False,False,True
YBR176W,YLR347C,False,True,False,False
YBR176W,YML064C,False,True,False,False
YBR176W,YNL189W,False,True,False,False
YBR176W,YPL070W,False,True,False,False
YBR181C,YEL053C,False,False,False,True
YBR182C,YER094C,False,False,False,True
YBR182C,YER125W,False,False,True,False
YBR182C,YKR027W,False,False,False,True
YBR182C,YLR368W,False,False,False,True
YBR182C,YLR423C,False,False,True,False
YBR182C,YNL193W,False,False,False,True
YBR182C,YOR368W,False,False,False,True
YBR182C,YPL169C,False,False,False,True
YBR186W,YBR261C,False,False,True,False
YBR186W,YLR032W,False,False,True,False
YBR187W,YDR373W,False,False,False,True
YBR187W,YNR032W,False,True,False,False
YBR188C,YDR416W,True,True,True,False
YBR188C,YKR034W,False,False,True,False
YBR188C,YLR117C,True,False,True,False
YBR188C,YMR124W,False,False,True,False
YBR188C,YMR213W,False,False,False,True
YBR193C,YER022W,False,True,False,False
YBR193C,YGL127C,False,True,False,False
YBR193C,YGR104C,True,False,False,False
YBR193C,YLR295C,False,True,False,False
YBR194W,YMR070W,False,False,True,False
YBR194W,YPR152C,True,False,True,False
YBR195C,YLR017W,False,False,True,False
YBR195C,YPR018W,True,False,False,True
YBR196C,YGL229C,True,False,False,False
YBR198C,YGL112C,False,False,True,False
YBR199W,YCL005WA,False,False,False,True
YBR200W,YJL157C,False,False,True,False
YBR201W,YML029W,False,False,True,False
YBR203W,YOL054W,False,False,False,True
