orf_name_a	gene_name_a	orf_name_b	gene_name_b	Uetz-screen	Ito-core	CCSB-YI1	YeRI	Zone	GI_PCC	CS_PCC	GE_PCC
YBL026W	LSM2	YGR158C	MTR3	False	False	True	True	B	0.01255		0.2312
YBL026W	LSM2	YLR275W	SMD2	False	False	False	True	A	0.13137		0.6768
YBL026W	LSM2	YLR438C-A	LSM3	False	False	True	True	A	0.39296		0.5513
YBL026W	LSM2	YOR159C	SME1	False	False	False	True	A	0.29686		0.6322
YBL026W	LSM2	YPR178W	PRP4	False	False	False	True	A	0.37141		-0.0185
YBL031W	SHE1	YDR192C	NUP42	False	False	False	True	C	0.01054		
YBL031W	SHE1	YPL155C	KIP2	False	False	False	True	C	0.05246	0.35237509951685336	0.3651
YBL033C	RIB1	YBL033C	RIB1	False	False	True	False	D			
YBL033C	RIB1	YPR172W		False	True	False	False	D			-0.0272
YBL035C	POL12	YNL102W	POL1	False	False	True	False	A	0.29679		0.7159
YBL037W	APL3	YFR043C	IRC6	False	False	True	True	C		0.40395399416726	0.2413
YBL037W	APL3	YJR058C	APS2	False	False	True	False	A	0.03581	0.5133935695671576	0.2384
YBL037W	APL3	YKL103C	APE1	False	False	True	False	C	0.06379	0.0670929495601135	0.1666
YBL039C	URA7	YJR103W	URA8	False	True	False	False	D	0.09017	-0.047823374822760056	
YBL039W-B		YPR128C	ANT1	False	False	False	True	D	-0.06483		
YBL042C	FUI1	YER021W	RPN3	True	False	False	False	C			0.0762
YBL043W	ECM13	YDR099W	BMH2	True	False	False	False	C	0.00402	-0.01720568709021838	
YBL043W	ECM13	YJR046W	TAH11	False	False	False	True	D	-0.00731		
YBL043W	ECM13	YLR117C	CLF1	False	False	False	True	C	0.00417		
YBL043W	ECM13	YLR435W	TSR2	False	False	False	True	D	-0.01314		
YBL043W	ECM13	YOR115C	TRS33	False	False	False	True	C	-0.02173	0.10812097043225223	
YBL043W	ECM13	YOR304C-A	BIL1	False	False	False	True	D	-0.01353	0.35371139533059737	
YBL045C	COR1	YPR191W	QCR2	False	True	False	False	A			0.8085
YBL046W	PSY4	YNL201C	PSY2	False	True	False	False	A		0.5332475458506138	0.3565
YBL047C	EDE1	YCR030C	SYP1	False	False	True	False	D	0.05831	0.1860691218248784	0.6308
YBL047C	EDE1	YGR241C	YAP1802	False	False	True	False	D	-0.02848	0.16959920089285183	0.4163
YBL049W	MOH1	YOR275C	RIM20	False	False	False	True	C	-0.02406	0.21650620200720896	0.3099
YBL051C	PIN4	YIL151C	ESL1	True	False	False	False	D	0.01836		
YBL051C	PIN4	YKR096W	ESL2	True	False	False	False	D	-0.01379	0.1333174060492986	0.3566
