"orf_name_a" "gene_name_a" "orf_name_b" "gene_name_b" "Zone" "GI_PCC" "CS_PCC" "GE_PCC"
"580" "YBR288C" "APM3" "YGR261C" "APL6" "A" 0.20518 0.916383675397493 NA
"585" "YCL010C" "SGF29" "YDR176W" "NGG1" "A" NA NA 0.369
"608" "YCL029C" "BIK1" "YER016W" "BIM1" "C" 0.14011 NA 0.241
"614" "YCL032W" "STE50" "YLR362W" "STE11" "C" NA NA 0.476
"615" "YCL032W" "STE50" "YLR423C" "ATG17" "C" 0.04755 NA 0.3742
"625" "YCL040W" "GLK1" "YCL040W" "GLK1" "D" NA NA NA
"626" "YCL040W" "GLK1" "YDR516C" "EMI2" "D" 0.05019 -0.0122345705778996 NA
"628" "YCL040W" "GLK1" "YNL189W" "SRP1" "C" 0.02991 NA 0.0522
"634" "YCL055W" "KAR4" "YGL036W" "" "D" 0.04656 NA 0.1512
"635" "YCL055W" "KAR4" "YGL192W" "IME4" "D" 0.03354 NA 0.0134
"644" "YCL056C" "PEX34" "YOR037W" "CYC2" "D" -0.0258 0.194332721328646 NA
"653" "YCL063W" "VAC17" "YLR423C" "ATG17" "C" 0.04576 NA 0.0197
"662" "YCR009C" "RVS161" "YDR388W" "RVS167" "D" 0.17612 NA 0.3374
"664" "YCR009C" "RVS161" "YMR232W" "FUS2" "D" 0.01106 NA 0.1126
"685" "YCR035C" "RRP43" "YHR114W" "BZZ1" "C" 0.00583 NA 0.179
"686" "YCR036W" "RBK1" "YGL153W" "PEX14" "C" -0.01961 0.241363652807187 0.2618
"691" "YCR052W" "RSC6" "YFR037C" "RSC8" "A" 0.14434 NA NA
"692" "YCR052W" "RSC6" "YOR232W" "MGE1" "B" -0.0072 NA NA
"701" "YCR060W" "TAH1" "YHR034C" "PIH1" "A" 0.08586 NA NA
"721" "YCR076C" "FUB1" "YNL189W" "SRP1" "C" 0.05491 NA NA
"722" "YCR077C" "PAT1" "YDL139C" "SCM3" "C" 0.09027 NA NA
"723" "YCR077C" "PAT1" "YDL175C" "AIR2" "B" 0.03185 NA NA
"724" "YCR077C" "PAT1" "YJL124C" "LSM1" "A" 0.74476 NA NA
"725" "YCR082W" "AHC2" "YER022W" "SRB4" "C" 0.04067 NA NA
"726" "YCR082W" "AHC2" "YOR023C" "AHC1" "C" 0.19003 0.589507359913706 NA
"730" "YCR086W" "CSM1" "YDL089W" "NUR1" "C" 0.0496 0.257462435814666 0.1631
"733" "YCR086W" "CSM1" "YDR439W" "LRS4" "A" 0.69446 0.486428154895837 NA
"735" "YCR086W" "CSM1" "YER106W" "MAM1" "A" -0.00827 0.00232995836893919 NA
"749" "YCR086W" "CSM1" "YOR264W" "DSE3" "C" 0.0047 0.13316921100909 0.053
"750" "YCR086W" "CSM1" "YOR281C" "PLP2" "B" 0.03903 NA 0.2106
"752" "YCR087C-A" "" "YKR092C" "SRP40" "D" 0.01692 0.097389143058185 0.5369
"757" "YCR095C" "OCA4" "YNL099C" "OCA1" "A" 0.26127 0.761482594880285 0.3642
"781" "YDL002C" "NHP10" "YLR052W" "IES3" "A" NA NA NA
"787" "YDL006W" "PTC1" "YDR162C" "NBP2" "D" 0.56893 NA 0.4094
"800" "YDL013W" "SLX5" "YJR091C" "JSN1" "C" -0.02106 NA 0.2552
"821" "YDL030W" "PRP9" "YDR026C" "NSI1" "C" 0.0262 NA NA
"836" "YDL044C" "MTF2" "YLR386W" "VAC14" "D" 0.02269 NA NA
"860" "YDL065C" "PEX19" "YGR119C" "NUP57" "C" -0.00025 NA NA
"861" "YDL065C" "PEX19" "YGR218W" "CRM1" "C" -0.05117 NA NA
"863" "YDL065C" "PEX19" "YMR047C" "NUP116" "C" 0.01284 NA NA
"864" "YDL065C" "PEX19" "YMR163C" "INP2" "D" 0.13667 0.0886140003142663 NA
"875" "YDL081C" "RPP1A" "YGR209C" "TRX2" "C" -0.04312 NA 0.1143
"876" "YDL081C" "RPP1A" "YLR340W" "RPP0" "A" 0.05288 NA 0.8083
"877" "YDL081C" "RPP1A" "YPR086W" "SUA7" "C" -0.06719 NA 0.0272
"882" "YDL084W" "SUB2" "YER063W" "THO1" "C" 0.01191 NA 0.1725
"911" "YDL088C" "ASM4" "YMR153W" "NUP53" "A" 0.25143 0.025752134740128 NA
"914" "YDL089W" "NUR1" "YDL089W" "NUR1" "D" NA NA NA
"915" "YDL089W" "NUR1" "YDR233C" "RTN1" "C" 0.05829 0.0200444661411864 -0.0404
"917" "YDL089W" "NUR1" "YLR324W" "PEX30" "D" 0.02453 0.286375308109034 0.4168
"918" "YDL089W" "NUR1" "YML008C" "ERG6" "D" 0.01003 NA -0.0273
"920" "YDL089W" "NUR1" "YPR028W" "YOP1" "D" 0.07856 0.00856196732567758 0.1644
"943" "YDL100C" "GET3" "YDL121C" "" "C" 0.01001 -0.109745955575579 0.1696
"950" "YDL100C" "GET3" "YGR189C" "CRH1" "C" 0.03875 0.0638029691135821 0.1717
"951" "YDL100C" "GET3" "YHL004W" "MRP4" "B" NA NA 0.141
"952" "YDL100C" "GET3" "YHR057C" "CPR2" "C" 0.00709 -0.148491428505753 0.2752
"954" "YDL100C" "GET3" "YHR180W" "" "C" 0.03887 -0.091025565515165 NA
"957" "YDL100C" "GET3" "YJL153C" "INO1" "C" 0.02731 0.234464890655051 0.1075
"959" "YDL100C" "GET3" "YKR100C" "SKG1" "C" -0.01099 0.145745336729208 0.1486
"961" "YDL100C" "GET3" "YML101C" "CUE4" "C" 0.05511 -0.225960299321304 NA
"963" "YDL100C" "GET3" "YNL199C" "GCR2" "C" 0.00034 NA 0.1817
"967" "YDL100C" "GET3" "YOL126C" "MDH2" "C" 0.03135 0.0291651856921458 NA
"968" "YDL100C" "GET3" "YOR164C" "GET4" "B" 0.43926 0.624381971515207 0.6222
"974" "YDL108W" "KIN28" "YGL134W" "PCL10" "B" 0.00689 NA 0.383
"981" "YDL111C" "RRP42" "YGR158C" "MTR3" "A" 0.39356 NA 0.621
"987" "YDL116W" "NUP84" "YDR113C" "PDS1" "C" 0.06679 NA 0.2529
"989" "YDL116W" "NUP84" "YKR082W" "NUP133" "A" 0.17114 NA 0.5666
"1005" "YDL130W" "RPP1B" "YKL002W" "DID4" "B" 0.06258 -0.0534950504897911 0.0017
"1006" "YDL130W" "RPP1B" "YLR287C" "" "C" 0.01796 -0.0332079796929403 0.1136
"1007" "YDL130W" "RPP1B" "YLR340W" "RPP0" "A" 0.0067 NA 0.8618
"1016" "YDL134C" "PPH21" "YHR114W" "BZZ1" "C" 0.02644 -0.0556982664419596 0.2936
"1021" "YDL134C" "PPH21" "YPR040W" "TIP41" "C" 0.08448 -0.0607510221483048 0.5463
"1023" "YDL139C" "SCM3" "YGL153W" "PEX14" "C" -0.07516 NA 0.4624
"1031" "YDL147W" "RPN5" "YJR091C" "JSN1" "C" -0.01113 NA 0.4328
"1035" "YDL153C" "SAS10" "YNL280C" "ERG24" "D" 0.06455 NA 0.0949
"1036" "YDL154W" "MSH5" "YFL003C" "MSH4" "D" -0.04092 0.0716913589199028 0.3205
"1042" "YDL155W" "CLB3" "YPL124W" "SPC29" "B" NA NA NA
"1045" "YDL160C" "DHH1" "YEL015W" "EDC3" "B" NA NA -0.1261
"1046" "YDL160C" "DHH1" "YGR178C" "PBP1" "C" NA NA 0.2665
"1051" "YDL161W" "ENT1" "YOR111W" "" "D" -0.00327 0.0660442151741645 0.232
"1057" "YDL165W" "CDC36" "YKL002W" "DID4" "B" -0.02637 NA 0.3311
"1061" "YDL168W" "SFA1" "YER081W" "SER3" "D" 0.0397 -0.0125149846620731 0.142
"1074" "YDL188C" "PPH22" "YPR040W" "TIP41" "C" 0.03255 0.00488175866329957 0.1502
"1082" "YDL195W" "SEC31" "YLR208W" "SEC13" "A" 0.11732 NA NA
"1084" "YDL203C" "ACK1" "YGR058W" "PEF1" "C" 0.02982 -0.00108627898986472 NA
"1086" "YDL203C" "ACK1" "YPL124W" "SPC29" "B" -0.07645 NA NA
"1087" "YDL204W" "RTN2" "YER118C" "SHO1" "C" 0.00268 0.141742988001405 NA
"1092" "YDL208W" "NHP2" "YNL124W" "NAF1" "C" 0.02537 NA NA
"1102" "YDL217C" "TIM22" "YHR114W" "BZZ1" "C" -0.02009 NA 0.2619
"1103" "YDL218W" "" "YGL044C" "RNA15" "C" 0.01552 NA NA
"1105" "YDL224C" "WHI4" "YER059W" "PCL6" "C" -0.0079 0.0532556396429751 0.1787
"1110" "YDL226C" "GCS1" "YER118C" "SHO1" "C" 0.00671 0.0821239273960803 0.4545
"1112" "YDL226C" "GCS1" "YGL198W" "YIP4" "D" -0.01364 0.251772158812999 0.3027
"1114" "YDL226C" "GCS1" "YGR172C" "YIP1" "D" 0.00375 NA 0.2837
"1117" "YDL226C" "GCS1" "YJL151C" "SNA3" "D" 0.01703 0.134515722635576 NA
"1118" "YDL226C" "GCS1" "YKR088C" "TVP38" "D" 0.01503 0.184548327852256 0.3259
